Code,Name,Year,hd30_ssp245,cdd_ssp245,r20mm_ssp245,hd30_ssp370,cdd_ssp370,r20mm_ssp370
PAK,Pakistan,2046,7.573125000000061,-0.0818750000000108,0.38625,7.536250000000052,3.260624999999976,-0.39031249999999895
PER,Peru,2046,23.8984375,0.6228124999999878,0.07593750000000021,20.23437499999997,0.4396875000000051,0.504999999999999
PHL,Philippines,2046,29.683749999999975,0.3074999999999992,0.9096875000000004,26.39281249999999,0.8178125000000023,-1.0353124999999999
RUS,Russian Federation,2046,1.6359374999999998,-0.16906249999999545,0.09124999999999983,1.4534374999999988,-0.6025000000000063,0.05468750000000022
SAU,Saudi Arabia,2046,9.191249999999997,-4.21875,0.022187500000000027,9.908437499999991,-1.0271874999999682,0.0534375
SEN,Senegal,2046,6.3484375000000455,3.135625000000033,-0.5200000000000005,7.597187500000018,4.776562500000011,-0.015624999999999556
ZAF,South Africa,2046,11.945312499999986,1.9371875000000003,0.02875000000000094,16.610000000000014,10.245937499999997,-0.06437499999999963
ESP,Spain,2046,6.462500000000013,-1.2709375000000094,0.6596874999999991,6.359375000000014,1.9556250000000048,0.19468750000000057
SWE,Sweden,2046,0.012499999999999997,-0.1915624999999963,0.09468749999999981,0.04875,1.3328124999999993,-0.05312499999999987
THA,Thailand,2046,20.892812500000048,-2.5106250000000117,-0.6318749999999991,20.12156250000004,-2.065624999999997,0.12531249999999972
TUR,Türkiye,2046,8.1796875,-1.1421874999999986,0.14406250000000087,9.895624999999988,2.977812500000006,0.061875000000000124
GBR,United Kingdom,2046,0.00937499999999998,0.27468750000000064,0.390625,0.01374999999999997,0.004999999999999005,0.07406250000000014
ARE,United Arab Emirates,2046,8.026562499999983,-7.153437499999967,0.17374999999999996,10.585625000000022,1.1909374999999898,-0.07125000000000001
USA,United States of America,2046,6.593750000000014,0.5606249999999982,0.24656249999999869,8.2265625,0.04031249999999886,0.2400000000000002
VEN,R. B. de Venezuela,2046,31.530624999999986,2.719374999999996,-0.1787500000000044,27.475937500000015,1.7418749999999967,-0.06374999999999709
VNM,Vietnam,2046,19.282812500000006,2.254375000000003,1.1325000000000038,17.13062500000001,0.0418750000000081,0.32625000000000526
DZA,Algeria,2047,5.833030303030313,-3.4224242424242277,0.009393939393939399,6.26424242424244,-10.372727272727275,0.020909090909090905
ARG,Argentina,2047,4.666363636363627,-0.134848484848483,0.41969696969696724,8.559696969696972,0.46878787878787165,-0.37030303030302925
AUS,Australia,2047,10.13606060606054,-0.9830303030303043,0.06969696969696937,13.184242424242456,-5.413636363636371,-0.04212121212121245
BGD,Bangladesh,2047,19.118181818181796,-2.8730303030302977,2.0596969696969865,12.076060606060594,-1.9918181818181822,4.606060606060602
BRA,Brazil,2047,26.47484848484848,1.558787878787875,-0.06030303030302875,28.70060606060605,4.686363636363637,-0.07424242424242067
KHM,Cambodia,2047,15.141515151515193,1.9160606060606185,1.3530303030303017,16.775151515151492,-0.8548484848484819,-0.150909090909094
CAN,Canada,2047,1.3084848484848481,-0.44060606060606844,0.2996969696969698,0.47000000000000064,-0.45393939393938965,0.14909090909090894
CHN,China,2047,5.74515151515152,-1.7957575757575839,0.31515151515151363,5.854848484848489,-0.5493939393939229,0.00484848484848488
COL,Colombia,2047,28.149393939393946,0.7372727272727264,0.8472727272727276,33.54666666666665,0.7848484848484798,-0.04393939393939661
ECU,Ecuador,2047,21.099696969696964,-1.175151515151514,1.8160606060606064,25.871818181818185,0.5690909090909084,0.8690909090909003
EGY,Arab Republic of Egypt,2047,5.984545454545497,4.5627272727272725,0.008787878787878775,4.722727272727241,9.786666666666747,-6.938893903907228e-18
ETH,Ethiopia,2047,12.992424242424221,-1.4487878787878827,0.6563636363636371,13.971212121212119,1.808484848484845,0.17090909090909
FRA,France,2047,4.373030303030303,1.3430303030303001,-0.090606060606061245,5.097575757575756,0.4360606060606145,0.09575757575757438
DEU,Germany,2047,3.581212121212121,0.1951515151515153,0.28333333333333277,2.4296969696969697,0.901212121212124,-0.0621212121212118
IND,India,2047,14.99515151515152,2.8724242424242448,-0.0687878787878784,12.865151515151524,4.297272727272713,-0.27030303030303315
IDN,Indonesia,2047,29.363333333333344,0.10424242424242358,0.972121212121209,29.816666666666748,-0.8954545454545464,2.444545454545448
IRN,Islamic Republic of Iran,2047,8.4224242424242,0.21999999999999886,0.26727272727272755,8.00818181818181,1.5996969696969643,-0.17212121212121234
ITA,Italy,2047,8.942727272727268,2.3878787878787904,-0.1251515151515168,10.177575757575756,-0.9924242424242458,-0.375151515151515
JPN,Japan,2047,4.93696969696969,0.0839393939393922,0.9754545454545465,5,0.5196969696969695,0.8148484848484827
KEN,Kenya,2047,10.899393939393974,-2.7515151515151572,0.4496969696969688,12.760606060606051,6.190909090909088,0.04636363636363683
KOR,Republic of Korea,2047,7.992424242424242,-0.5027272727272738,-0.26151515151515525,9.985454545454552,0.6366666666666632,1.2627272727272718
MYS,Malaysia,2047,30.791212121212084,0.7263636363636374,1.9603030303030309,32.36636363636353,-0.23151515151515056,3.0339393939393915
